fuente,destino,peso
Promoción,Prevención,0.800
Promoción,Tratamiento,0.700
Promoción,Rehabilitación,0.650
Promoción,Cuidados Paliativos,0.600
Promoción,Liderazgo en Salud,0.750
Promoción,Pensamiento Crítico,0.700
Promoción,Comunicación,0.800
Promoción,Trabajo en Equipo,0.780
Promoción,Innovación y Tecnología,0.680
Promoción,Gestión de Calidad en Salud,0.650
Promoción,Ética y Profesionalismo,0.720
Promoción,Aprendizaje Continuo,0.700
Promoción,Resiliencia y Bienestar,0.660
Promoción,Sentido de Trascendencia,0.600
Promoción,Medición y Análisis de Datos,0.550
Promoción,Salud Pública y APS,0.850
Promoción,Digitalización e IA,0.600
Promoción,Contender con la Complejidad,0.700
Promoción,Infraorganísmico,0.500
Promoción,Organísmico,0.650
Promoción,Supraorganísmico,0.800
Promoción,Planear,0.900
Promoción,Hacer,0.850
Promoción,Verificar,0.800
Promoción,Actuar,0.750
Prevención,Promoción,0.800
Prevención,Tratamiento,0.750
Prevención,Rehabilitación,0.700
Prevención,Cuidados Paliativos,0.650
Prevención,Liderazgo en Salud,0.720
Prevención,Pensamiento Crítico,0.680
Prevención,Comunicación,0.770
Prevención,Trabajo en Equipo,0.750
Prevención,Innovación y Tecnología,0.660
Prevención,Gestión de Calidad en Salud,0.640
Prevención,Ética y Profesionalismo,0.700
Prevención,Aprendizaje Continuo,0.680
Prevención,Resiliencia y Bienestar,0.650
Prevención,Sentido de Trascendencia,0.620
Prevención,Medición y Análisis de Datos,0.500
Prevención,Salud Pública y APS,0.880
Prevención,Digitalización e IA,0.580
Prevención,Contender con la Complejidad,0.680
Prevención,Infraorganísmico,0.520
Prevención,Organísmico,0.660
Prevención,Supraorganísmico,0.790
Prevención,Planear,0.880
Prevención,Hacer,0.830
Prevención,Verificar,0.780
Prevención,Actuar,0.730
Tratamiento,Promoción,0.700
Tratamiento,Prevención,0.750
Tratamiento,Rehabilitación,0.780
Tratamiento,Cuidados Paliativos,0.700
Tratamiento,Liderazgo en Salud,0.680
Tratamiento,Pensamiento Crítico,0.650
Tratamiento,Comunicación,0.720
Tratamiento,Trabajo en Equipo,0.700
Tratamiento,Innovación y Tecnología,0.640
Tratamiento,Gestión de Calidad en Salud,0.620
Tratamiento,Ética y Profesionalismo,0.670
Tratamiento,Aprendizaje Continuo,0.660
Tratamiento,Resiliencia y Bienestar,0.630
Tratamiento,Sentido de Trascendencia,0.600
Tratamiento,Medición y Análisis de Datos,0.480
Tratamiento,Salud Pública y APS,0.600
Tratamiento,Digitalización e IA,0.550
Tratamiento,Contender con la Complejidad,0.650
Tratamiento,Infraorganísmico,0.480
Tratamiento,Organísmico,0.620
Tratamiento,Supraorganísmico,0.700
Tratamiento,Planear,0.800
Tratamiento,Hacer,0.760
Tratamiento,Verificar,0.800
Tratamiento,Actuar,0.680
Rehabilitación,Promoción,0.650
Rehabilitación,Prevención,0.700
Rehabilitación,Tratamiento,0.780
Rehabilitación,Cuidados Paliativos,0.720
Rehabilitación,Liderazgo en Salud,0.700
Rehabilitación,Pensamiento Crítico,0.680
Rehabilitación,Comunicación,0.730
Rehabilitación,Trabajo en Equipo,0.710
Rehabilitación,Innovación y Tecnología,0.660
Rehabilitación,Gestión de Calidad en Salud,0.640
Rehabilitación,Ética y Profesionalismo,0.690
Rehabilitación,Aprendizaje Continuo,0.670
Rehabilitación,Resiliencia y Bienestar,0.650
Rehabilitación,Sentido de Trascendencia,0.620
Rehabilitación,Medición y Análisis de Datos,0.500
Rehabilitación,Salud Pública y APS,0.600
Rehabilitación,Digitalización e IA,0.580
Rehabilitación,Contender con la Complejidad,0.680
Rehabilitación,Infraorganísmico,0.480
Rehabilitación,Organísmico,0.620
Rehabilitación,Supraorganísmico,0.700
Rehabilitación,Planear,0.780
Rehabilitación,Hacer,0.740
Rehabilitación,Verificar,0.780
Rehabilitación,Actuar,0.670
Cuidados Paliativos,Promoción,0.600
Cuidados Paliativos,Prevención,0.650
Cuidados Paliativos,Tratamiento,0.700
Cuidados Paliativos,Rehabilitación,0.720
Cuidados Paliativos,Liderazgo en Salud,0.680
Cuidados Paliativos,Pensamiento Crítico,0.660
Cuidados Paliativos,Comunicación,0.700
Cuidados Paliativos,Trabajo en Equipo,0.680
Cuidados Paliativos,Innovación y Tecnología,0.620
Cuidados Paliativos,Gestión de Calidad en Salud,0.600
Cuidados Paliativos,Ética y Profesionalismo,0.670
Cuidados Paliativos,Aprendizaje Continuo,0.650
Cuidados Paliativos,Resiliencia y Bienestar,0.630
Cuidados Paliativos,Sentido de Trascendencia,0.600
Cuidados Paliativos,Medición y Análisis de Datos,0.480
Cuidados Paliativos,Salud Pública y APS,0.550
